순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"251","국내도서","2023 채용대비 해커스 현대자동차 생산인력·생산직 필기시험 한권완성","8969653600","9788969653604","13320","챔프스터디","해커스잡 취업교육연구소 지음","21,000","18,900","2,100","10%","1,050점","20230222","5120"
"252","국내도서","심판","8932920400","9788932920405","03860","열린책들","베르나르 베르베르 지음, 전미연 옮김","14,800","13,320","1,480","10%","740점","20200830","25986"
"253","국내도서","슬램덩크 완전판 프리미엄 박스판 1~5권 세트 - 전5권","K272831469","9791169447928","","대원씨아이(만화)","이노우에 다케히코 지음","70,000","63,000","7,000","10%","3,500점","20230106","20085"
"254","국내도서","사소한 것들이 신경 쓰입니다","K852831427","9791138435925","03830","㈜소미미디어","마스다 미리 지음, 권남희 옮김","14,800","13,320","1,480","10%","740점","20230215","10910"
"255","국내도서","양말 신는 법","K232733024","9791188601493","13590","참돌","존 자누치 지음, 마이크 레만스키 그림, 조은형 옮김","3,300","2,970","330","10%","160점","20210625","9298"
"256","국내도서","귀엽다는 말 들은 적 없어!! 5","K042831857","9791169790871","","대원씨아이(만화)","하루후지 나카바 지음","5,000","4,500","500","10%","250점","20230224","5050"
"257","국내도서","서울 부동산 절대원칙","K372831274","9791140702718","13320","길벗","김학렬(빠숑) 지음","25,000","22,500","2,500","10%","1,250점","20230111","35330"
"258","국내도서","열린 어둠","K112830340","9791192579313","03830","모모","렌조 미키히코 저자, 양윤옥 역자","16,800","15,120","1,680","10%","840점","20221221","22545"
"259","국내도서","프레이리에게 변혁의 길을 묻다","K432839920","9791159302374","93370","살림터","심성보 지음","33,000","29,700","3,300","10%","1,650점","20221017","4651"
"260","국내도서","이기적 유전자","8932473900","9788932473901","03470","을유문화사","리처드 도킨스 지음, 홍영남.이상임 옮김","20,000","18,000","2,000","10%","1,000점","20181020","80459"
"261","국내도서","예의 없는 친구들을 대하는 슬기로운 말하기 사전","K682835052","9791160948929","73180","사계절","김원아 지음, 김소희 그림","13,000","11,700","1,300","10%","650점","20220113","42307"
"262","국내도서","브라질에 비가 내리면 스타벅스 주식을 사라","K342837406","9791188754588","03320","에프엔미디어","피터 나바로 지음, 이창식 옮김, 윤지호 감수","18,000","16,200","1,800","10%","900점","20220425","27433"
"263","국내도서","좋아 싫어 대신 뭐라고 말하지?","K832831396","9791197769078","07800","이야기공간","송현지 지음, 순두부 그림","15,800","14,220","1,580","10%","790점","20230201","9570"
"264","국내도서","오버로드 16","K802831142","9791138024358","04830","영상출판미디어(주)","마루야마 쿠가네 지음, 김완 옮김, so-bin 그림","12,000","10,800","1,200","10%","600점","20230309","6050"
"265","국내도서","세상의 마지막 기차역","K762837520","9791191043754","03830","모모","무라세 다케시 지음, 김지연 옮김","14,000","12,600","1,400","10%","700점","20220511","80422"
"266","국내도서","해커스 토익 실전 1000제 1 LC Listening 문제집 (리스닝)","8965425077","9788965425076","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","11,900","10,710","1,190","10%","590점","20230102","23225"
"267","국내도서","슬램덩크 완전판 프리미엄 박스판 6~10권 세트 - 전5권","K362831469","9791169447997","","대원씨아이(만화)","이노우에 다케히코 지음","70,000","63,000","7,000","10%","3,500점","20230106","19410"
"268","국내도서","2023 써니 행정법총론 단원별 모의고사 - 전2권","K562831301","9791160183559","13360","지금(도서출판)","박준철 지음","23,000","20,700","2,300","10%","1,150점","20230206","15270"
"269","국내도서","데일 카네기의 인간관계론 (미니북)","K162534707","9791189660017","14320","더클래식","데일 카네기 지음, 베스트트랜스 옮김","2,900","2,610","290","10%","140점","20181130","9879"
"270","국내도서","환상서점","K152831533","9791164798926","03810","해피북스투유","소서림 지음","15,500","13,950","1,550","10%","770점","20230228","6010"
"271","국내도서","아주 작은 습관의 힘","K832534441","9791162540640","03190","비즈니스북스","제임스 클리어 지음, 이한이 옮김","16,000","14,400","1,600","10%","800점","20190226","79174"
"272","국내도서","다정한 것이 살아남는다","K722733028","9791197413025","03400","디플롯","브라이언 헤어.버네사 우즈 지음, 이민아 옮김, 박한선 감수","22,000","19,800","2,200","10%","1,100점","20210726","71935"
"273","국내도서","슬램덩크 완전판 프리미엄 박스판 21~24권 세트 - 전4권","K332831469","9791169448178","","대원씨아이(만화)","이노우에 다케히코 지음","56,000","50,400","5,600","10%","2,800점","20230106","20280"
"274","국내도서","슬램덩크 완전판 프리미엄 박스판 16~20권 세트 - 전5권","K312831469","9791169448116","","대원씨아이(만화)","이노우에 다케히코 지음","70,000","63,000","7,000","10%","3,500점","20230106","18795"
"275","국내도서","삶을 바꾸는 질문의 기술","K122831486","9791157688470","03190","동양북스(동양문고)","엘커 비스 지음, 유동익.강재형 옮김","15,800","14,220","1,580","10%","790점","20230120","10625"
"276","국내도서","허구추리 18","K362831149","9791136764010","","서울미디어코믹스(서울문화사)","카타세 차시바 지음, 오경화 옮김, 시로다이라 교 원작","6,000","5,400","600","10%","300점","20230228","4260"
"277","국내도서","설민석의 한국사 대모험 23","K172830601","9791191496642","74910","단꿈아이","설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300","10%","650점","20221128","41595"
"278","국내도서","미움받을 용기 (200만 부 기념 스페셜 에디션)","K442831368","9791168340770","03180","인플루엔셜(주)","기시미 이치로 외 지음, 전경아 옮김, 김정운 감수","15,900","14,310","1,590","10%","790점","20221228","12560"
"279","국내도서","말이 힘이 될 때","K572831429","9791198060518","03190","클랩북스","최동석 지음","16,500","14,850","1,650","10%","820점","20230210","7770"
"280","국내도서","칵테일, 러브, 좀비 (리커버)","K502837053","9791190174756","","안전가옥","조예은 지음","10,000","9,000","1,000","10%","500점","20200413","57566"
"281","국내도서","안젤리크","8984374547","9788984374546","03860","밝은세상","기욤 뮈소 지음, 양영란 옮김","16,800","15,120","1,680","10%","840점","20221221","44865"
"282","국내도서","나를 나답게 만드는 것들","K312737663","9791135492402","03470","브론스테인","빌 설리번 지음, 김성훈 옮김","19,800","17,820","1,980","10%","990점","20201223","18523"
"283","국내도서","핑크와 하바네로 3","K972831857","9791169793803","","대원씨아이(만화)","사토나카 미카 지음","5,500","4,950","550","10%","270점","20230224","4950"
"284","국내도서","모순","8998441012","9788998441012","03810","쓰다","양귀자 지음","13,000","11,700","1,300","10%","650점","20130401","52331"
"285","국내도서","2023 해커스공기업 코레일 한국철도공사 NCS+전공 봉투모의고사 6회+3회 (최신판)","8969653007","9788969653000","13320","해커스공기업","해커스 취업교육연구소 지음","16,900","15,210","1,690","10%","840점","20220718","7381"
"286","국내도서","오십에 시작하는 마음 공부","K892831747","9791162543306","03190","비즈니스북스","김종원 지음","16,800","15,120","1,680","10%","840점","20230224","4610"
"287","국내도서","별의 시간","8932461368","9788932461366","04870","을유문화사","클라리시 리스펙토르 지음, 민승남 옮김","13,000","11,700","1,300","10%","650점","20230225","4500"
"288","국내도서","우리, 편하게 말해요","8901264773","9788901264776","03710","웅진지식하우스","이금희 지음","17,000","15,300","1,700","10%","850점","20221021","48268"
"289","국내도서","2023 전한길 한국사 4.0 실전동형 모의고사","K362831876","9791191454222","13910","전한길한국사","전한길 지음","16,000","14,400","1,600","10%","800점","20230115","11170"
"290","국내도서","일본어 문법 무작정 따라하기","K212831201","9791140702978","03730","길벗이지톡","후지이 아사리 지음","26,000","23,400","2,600","10%","1,300점","20230214","9350"
"291","국내도서","해커스 토익 스타트 리딩 RC","8965423376","9788965423379","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","14,900","13,410","1,490","10%","740점","20200102","58398"
"292","국내도서","장사의 神 (200쇄 기념 블랙 에디션)","K302831661","9791165346652","03320","쌤앤파커스","우노 다카시 지음, 김문정 옮김","16,000","14,400","1,600","10%","800점","20230103","13790"
"293","국내도서","거의 모든 행동 표현의 영어","8960499374","9788960499379","14740","사람in","서영조 지음","16,000","14,400","1,600","10%","800점","20220310","63440"
"294","국내도서","2023 수제비 정보처리기사 필기 1권+2권 합본세트 - 전2권","K052830499","9791157677030","14000","건기원","NCS 정보처리기술사 연구회 지음","35,000","31,500","3,500","10%","1,750점","20230110","25065"
"295","국내도서","니체의 삶","K112630804","9791135484223","03990","비잉(Being)","수 프리도 지음, 박선영 옮김","25,800","23,220","2,580","10%","1,290점","20200624","16054"
"296","국내도서","5초 영어어법","K392831005","9791187152354","13740","라즈베리","박정규 지음","13,800","12,420","1,380","10%","690점","20230116","8270"
"297","국내도서","위대한 대화","K732831525","9791190955843","03810","생각의힘","김지수 지음","17,000","15,300","1,700","10%","850점","20230215","6560"
"298","국내도서","오색 찬란 실패담","8925576937","9788925576930","03810","알에이치코리아(RHK)","정지음 지음","16,500","14,850","1,650","10%","820점","20230224","6070"
"299","국내도서","김밀란 리조또","K352831534","9791130697390","13590","다산라이프","김밀란 지음","20,000","18,000","2,000","10%","1,000점","20230217","5890"
"300","국내도서","이런 공부법은 처음이야","8950968118","9788950968113","13370","21세기북스","신종호 지음","17,800","16,020","1,780","10%","890점","20230215","4580"
"301","국내도서","작별인사","K122837904","9791191114225","03810","복복서가","김영하 지음","14,000","12,600","1,400","10%","700점","20220502","109112"
"302","국내도서","1984","8937460777","9788937460777","04840","민음사","조지 오웰 지음, 정회성 옮김","9,500","8,550","950","10%","470점","20030616","66194"
"303","국내도서","천문학자는 별을 보지 않는다","8954677258","9788954677257","03810","문학동네","심채경 지음","15,000","13,500","1,500","10%","750점","20210222","46682"
"304","국내도서","뇌, 욕망의 비밀을 풀다","K452636076","9791162541029","03320","비즈니스북스","한스-게오르크 호이젤 지음, 강영옥 외 옮김","18,000","16,200","1,800","10%","900점","20191004","33948"
"305","국내도서","그대 늙어가는 것이 아니라 익어가는 것이다","K762830243","9791192625188","03180","포레스트북스","오평선 지음","15,800","14,220","1,580","10%","790점","20221221","15860"
"306","국내도서","2023 고종훈 한국사 동형모의고사 시즌 1","K022831293","9791167223982","13910","메가스터디교육(공무원)","고종훈 지음","17,000","15,300","1,700","10%","850점","20230110","8100"
"307","국내도서","코딩 자율학습 나도코딩의 파이썬 입문","K462831528","9791140703302","93000","길벗","나도코딩 지음","24,000","21,600","2,400","10%","1,200점","20230220","5630"
"308","국내도서","도둑맞은 자전거","893494367X","9788934943679","","비채","우밍이 지음, 허유영 옮김","17,800","16,020","1,780","10%","890점","20230131","4310"
"309","국내도서","월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판)","8925578158","9788925578156","03320","알에이치코리아(RHK)","너나위 지음","19,800","17,820","1,980","10%","990점","20220620","42178"
"310","국내도서","창발의 시대","K382830166","9791140802586","03900","로크미디어","패트릭 와이먼 지음, 장영재 옮김","19,500","17,550","1,950","10%","970점","20221102","31100"
"311","국내도서","일생에 단 한번은 독기를 품어라","K412830039","9791192579344","13190","마인드셋","권민창 지음","15,000","13,500","1,500","10%","750점","20221218","19845"
"312","국내도서","호랭떡집","K962831389","9791169811163","77810","사계절","서현 지음","16,500","14,850","1,650","10%","820점","20230127","19075"
"313","국내도서","슬램덩크 완전판 프리미엄 박스판 11~15권 세트 - 전5권","K392831469","9791169448055","","대원씨아이(만화)","이노우에 다케히코 지음","70,000","63,000","7,000","10%","3,500점","20230106","18325"
"314","국내도서","먼작귀 3 (카드놀이 포함 특별판)","K002831839","9791169449496","","미우(대원씨아이)","나가노 지음","27,000","24,300","2,700","10%","1,350점","20230215","15620"
"315","국내도서","스톱! 밀키웨이 9","K712831044","9791169472784","","학산문화사(만화)","후나츠 카즈키 지음","8,000","7,200","800","10%","400점","20230222","3590"
"316","국내도서","백년운동","K812636693","9791196834005","03470","아티잔","정선근 지음","19,500","17,550","1,950","10%","970점","20191101","46472"
"317","국내도서","내가 죽기로 결심한 것은 1","K512839374","9791169303545","07810","네이버웹툰","YUJU 지음","16,000","14,400","1,600","10%","800점","20220915","18661"
"318","국내도서","모 이야기","K132831306","9791188594245","07810","엣눈북스(atnoonbooks)","최연주 지음","22,000","19,800","2,200","10%","1,100점","20230206","13710"
"319","국내도서","마이클 햄튼의 인체 드로잉","8979293682","9788979293685","13650","잉크잼(잼스푼)","마이클 햄튼 지음, 조은형 옮김","43,500","39,150","4,350","10%","2,170점","20230210","12745"
"320","국내도서","열방약국 유방암 상담소","K482835707","9791190616485","03510","리더북스","김훈하 지음","16,000","14,400","1,600","10%","800점","20211112","10195"
"321","국내도서","나는 경매로 1년 만에 인생을 역전했다","K172831305","9791140703128","03220","길벗","구범준 지음","20,000","18,000","2,000","10%","1,000점","20230210","8790"
"322","국내도서","해커스 토익 스타트 리스닝 LC","8965423384","9788965423386","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","14,900","13,410","1,490","10%","740점","20200102","45865"
"323","국내도서","기대의 발견","8972917915","9788972917915","03180","까치","데이비드 롭슨 지음, 이한나 옮김","20,000","18,000","2,000","10%","1,000점","20230105","17455"
"324","국내도서","낭만 강아지 봉봉 3","K212831483","9791130696577","74810","다산어린이","홍민정 지음, 김무연 그림","12,000","10,800","1,200","10%","600점","20230118","13500"
"325","국내도서","나는 좌절의 스페셜리스트입니다","K982831005","9791130696720","03810","다산북스","백혜선 지음","16,800","15,120","1,680","10%","840점","20230126","9085"
"326","국내도서","웰씽킹 WEALTHINKING (양장)","K852835990","9791130677774","03190","다산북스","켈리 최 지음","16,000","14,400","1,600","10%","800점","20211110","121696"
"327","국내도서","흔한남매 12","K422830492","9791168414471","77810","미래엔아이세움","흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","14,500","13,050","1,450","10%","720점","20221130","84030"
"328","국내도서","나는 오래된 거리처럼 너를 사랑하고","8932040443","9788932040448","03810","문학과지성사","진은영 지음","12,000","10,800","1,200","10%","600점","20220831","80151"
"329","국내도서","인생의 허무를 어떻게 할 것인가","K272830862","9791167070791","03810","사회평론아카데미","김영민 지음","16,000","14,400","1,600","10%","800점","20221031","60965"
"330","국내도서","한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA)","8965424623","9788965424628","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","19,800","17,820","1,980","10%","990점","20220103","36165"
"331","국내도서","2023 상장 기업 업종 지도","K702830239","9791188754755","03320","에프엔미디어","박찬일 지음","18,000","16,200","1,800","10%","900점","20230101","26325"
"332","국내도서","2023 써니 행정법총론 핵심집약 (기출지문 암기 App 이용쿠폰 제공)","K922831570","9791160183498","13360","지금(도서출판)","박준철 지음","26,000","23,400","2,600","10%","1,300점","20230118","20770"
"333","국내도서","내가 죽기로 결심한 것은 2","K752839374","9791169303552","07810","네이버웹툰","YUJU 지음","16,000","14,400","1,600","10%","800점","20220915","18282"
"334","국내도서","야화첩 4","K432831834","9791163989929","07810","레진코믹스(레진엔터테인먼트)","변덕 지음","16,000","14,400","1,600","10%","800점","20230113","9890"
"335","국내도서","의사 어벤저스 11 : 구강 질환, 깨끗하게 경쟁하라!","K092831526","9791168090743","74510","가나출판사","고희정 지음, 조승연 그림, 류정민 감수","14,800","13,320","1,480","10%","740점","20230220","6060"
"336","국내도서","열세 살 우리는","K972831836","9791167550903","73810","우리학교","문경민 지음, 이소영 그림","14,500","13,050","1,450","10%","720점","20230224","3810"
"337","국내도서","체리새우 : 비밀글입니다 (30만 부 리커버 특별판)","K452830821","9788954654753","03810","문학동네","황영미 지음","11,500","10,350","1,150","10%","570점","20190128","66545"
"338","국내도서","체인소 맨 11","K982837765","9791134889708","","학산문화사(만화)","후지모토 타츠키 지음","6,000","5,400","600","10%","300점","20220322","40188"
"339","국내도서","백앤아 1 : 미스터리 100층 감옥","K672831004","9791192504216","77810","샌드박스스토리 키즈","돌만 그림, 안성훈 글, 백앤아 원작","15,000","13,500","1,500","10%","750점","20230127","17920"
"340","국내도서","새벽의 연화 38","K552831618","9791169472715","","학산문화사(만화)","쿠사나기 미즈호 지음, 이상은 옮김","6,000","5,400","600","10%","300점","20230208","17840"
"341","국내도서","천사를 거부하는 우울한 연인에게","8954699332","9788954699334","03810","문학동네","양안다 지음","12,000","10,800","1,200","10%","600점","20230130","14245"
"342","국내도서","피메일스","K192831618","9791168125766","03300","위즈덤하우스","안드레아 롱 추 지음, 박종주 옮김","17,000","15,300","1,700","10%","850점","20230208","5960"
"343","국내도서","흥달쌤의 정보처리기사 실기","K572831633","9791190377843","13560","에듀콕스(Educox)","이흥직 지음","30,000","28,500","1,500","5%","1,500점","20230222","4260"
"344","국내도서","오백 년째 열다섯 2","K902831942","9791168125803","43810","위즈덤하우스","김혜정 지음","13,500","12,150","1,350","10%","670점","20230228","4020"
"345","국내도서","채사장의 지대넓얕 5 : 자본주의의 역습","K762830721","9791197578458","74900","돌핀북","채사장.마케마케 지음, 정용환 그림","15,000","13,500","1,500","10%","750점","20221224","28340"
"346","국내도서","당신의 뇌는 최적화를 원한다","8965706343","9788965706342","03320","쌤앤파커스","가바사와 시온 지음, 오시연 옮김","15,000","13,500","1,500","10%","750점","20180525","25954"
"347","국내도서","오늘은 아무래도 덮밥","K872630780","9791188601387","13590","참돌","이마이 료 지음, 이진숙 옮김","4,400","3,960","440","10%","220점","20200612","20256"
"348","국내도서","인생이 지옥처럼 느껴질 때","K192837388","9791135476389","03180","비잉(Being)","마샤 리네한 지음, 정미나.박지니 옮김, 서수연 감수","20,000","18,000","2,000","10%","1,000점","20220406","17974"
"349","국내도서","금리의 역습","K392831284","9791168125582","03320","위즈덤하우스","에드워드 챈슬러 지음, 임상훈 옮김","33,000","29,700","3,300","10%","1,650점","20230111","16865"
"350","국내도서","받침구조대","K132831385","9791189499525","74710","만만한책방","곽미영 지음, 지은 그림","13,000","11,700","1,300","10%","650점","20230120","15475"
"351","국내도서","2023 산업안전산업기사 실기[필답형+작업형] + 무료동영상 + 스마트북","K642831832","9791168751965","13500","구민사","최윤정 지음","40,000","36,000","4,000","10%","2,000점","20230220","4260"
"352","국내도서","슬픔의 방문","K012830914","9791155251591","03810","낮은산","장일호 지음","15,000","13,500","1,500","10%","750점","20221204","29890"
"353","국내도서","내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션)","K122838550","9791158511432","03190","토네이도","칼 필레머 지음, 박여진 옮김","17,000","15,300","1,700","10%","850점","20220829","26694"
"354","국내도서","별의 커비 디스커버리 1 : 새로운 세계를 향해 달려라!","K392830340","9791164798667","74830","해피북스투유","다카세 미에 지음, 가리노 타우.포토 그림, 현승희 옮김","13,500","12,150","1,350","10%","670점","20230105","13780"
"355","국내도서","데일 카네기의 자기관리론 (미니북)","K102534707","9791189660024","14320","더클래식","데일 카네기 지음, 베스트트랜스 옮김","2,900","2,610","290","10%","140점","20181130","11618"
"356","국내도서","웃소 6","K502831532","9791168414860","77810","미래엔아이세움","박강호 그림, 한바리 글, 웃소 원작","13,500","12,150","1,350","10%","670점","20230221","7130"
"357","국내도서","기후위기인간","8925577135","9788925577135","03810","알에이치코리아(RHK)","구희 지음, 이유진 감수","19,500","17,550","1,950","10%","970점","20230127","6340"
"358","국내도서","녹슨달","8932322783","9788932322780","03810","달다","하지은 지음","18,000","16,200","1,800","10%","900점","20230228","4680"
"359","국내도서","각자도사 사회","K932831621","9791167740908","03330","어크로스","송병기 지음","16,000","14,400","1,600","10%","800점","20230215","4070"
"360","국내도서","ETS 토익 단기 공략 750+ (LC + RC)","8917235948","9788917235944","13740","(주)YBM(와이비엠)","ETS 지음","18,000","16,200","1,800","10%","900점","20200820","51593"
"361","국내도서","월가아재의 제2라운드 투자 수업","K022831413","9791188754762","03320","에프엔미디어","최한철(월가아재) 지음","18,000","16,200","1,800","10%","900점","20230215","12240"
"362","국내도서","부동산 변곡점이 왔다","K462830023","9791168125452","03320","위즈덤하우스","삼토시(강승우) 지음","17,000","15,300","1,700","10%","850점","20221207","10585"
"363","국내도서","AI 2041","K412831575","9791157846405","03320","한빛비즈","리카이푸.천치우판 지음, 이현 옮김","29,800","26,820","2,980","10%","1,490점","20230109","8870"
"364","국내도서","연결된 고통","K462831747","9791192465043","03300","아몬드","이기병 지음","17,000","15,300","1,700","10%","850점","20230224","6080"
"365","국내도서","2023 에듀윌 산업안전기사 실기 한권끝장 [필답형+작업형]","K552831313","9791136024640","13530","에듀윌","최창률 저자","40,000","36,000","4,000","10%","2,000점","20230209","4870"
"366","국내도서","Re : 제로부터 시작하는 이세계 생활 단편집 7","K822831142","9791138024341","04830","영상출판미디어(주)","나가츠키 탓페이 지음, 오츠카 신이치로 외 그림, 정홍식 옮김","7,500","6,750","750","10%","370점","20230309","4530"
"367","국내도서","ETS 토익 정기시험 기출입문서 RC 리딩","8917238599","9788917238594","13740","와이비엠","ETS 지음","15,000","13,500","1,500","10%","750점","20211220","24681"
"368","국내도서","해커스 일본어 JLPT N3 (일본어능력시험) 한 권으로 합격","8965423406","9788965423409","13730","해커스어학연구소(Hackers)","해커스 JLPT 연구소 지음","26,900","24,210","2,690","10%","1,340점","20200414","18221"
"369","국내도서","감각적인 니터를 위한 손뜨개 모티브 & 에징 300","8998317729","9788998317720","14630","참돌","일본 보그사 지음","4,400","3,960","440","10%","220점","20150925","17429"
"370","국내도서","신경 끄기 연습","K592830140","9791192300405","03190","유노책주","나이토 요시히토 지음, 김한나 옮김","15,000","13,500","1,500","10%","750점","20230102","16245"
"371","국내도서","건강의 뇌과학","K302838204","9791139706673","03400","현대지성","제임스 굿윈 지음, 박세연 옮김","19,900","17,910","1,990","10%","990점","20220712","12361"
"372","국내도서","2023 심우철 이것만은 알고 가자","K172831463","9791162051481","13740","심슨북스","심우철 지음","16,500","14,850","1,650","10%","820점","20230104","11730"
"373","국내도서","코미 양은 커뮤증입니다 25","K292831518","9791138435758","07830","㈜소미미디어","오다 토모히토 지음, 박경용 옮김","6,000","5,400","600","10%","300점","20230216","9940"
"374","국내도서","메타버스에선 무슨 일이 일어날까?","8957072225","9788957072226","43560","이지북","이동은 지음","13,000","11,700","1,300","10%","650점","20220328","4931"
"375","국내도서","마음까지 물들이는 어반 수채화 컬러링 북","K732831858","9791192469850","13650","제이펍","땡란 지음","17,000","15,300","1,700","10%","850점","20230310","3570"
"376","국내도서","보카바이블 (VOCA Bible) 4.0 (A권 + B권)","8994553096","9788994553092","13740","스텝업","허민 지음","32,000","28,800","3,200","10%","1,600점","20180612","35417"
"377","국내도서","2023 전한길 한국사 합격생 필기노트 (스프링)","K662838273","9791191454147","13910","전한길한국사","전한길 지음","15,000","13,500","1,500","10%","750점","20220620","27819"
"378","국내도서","2023 ADsP 데이터 분석 준전문가","K982831176","9791197889585","","데이터에듀","윤종식 지음","31,000","27,900","3,100","10%","1,550점","20230120","23730"
"379","국내도서","그림 그리기가 이토록 쉬울 줄이야","K722838698","9791191731279","13650","스몰빅라이프","이기주 지음","18,000","16,200","1,800","10%","900점","20220718","16903"
"380","국내도서","밥 프록터의 위대한 확언","K562830243","9791190977951","03320","페이지2(page2)","밥 프록터 지음, 김잔디 옮김, 조성희 감수","17,800","16,020","1,780","10%","890점","20221221","16090"
"381","국내도서","해커스 토익 실전 1000제 2 LC Listening (리스닝) 문제집 (2023 최신개정판)","8965425395","9788965425397","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","11,900","10,710","1,190","10%","590점","20230102","14780"
"382","국내도서","수심결과 마음공부","K182831007","9791192476858","03220","불광출판사","법상 지음","20,000","18,000","2,000","10%","1,000점","20230201","12015"
"383","국내도서","사진으로 보는 우리 문화유산","8925577623","9788925577623","03910","알에이치코리아(RHK)","강형원 지음","19,500","17,550","1,950","10%","970점","20220930","8452"
"384","국내도서","2023 이기적 컴퓨터활용능력 2급 필기 + 실기 상시 시험 공략집","8931466420","9788931466423","13000","영진.com(영진닷컴)","홍태성.박윤정 지음","28,000","25,200","2,800","10%","1,400점","20221213","8435"
"385","국내도서","2023 수제비 정보처리기사 실기 FINAL 실전 모의고사","K252830253","9791157677115","13000","건기원","NCS 정보처리기술사 연구회 지음","30,000","27,000","3,000","10%","1,500점","20230130","7265"
"386","국내도서","인생의 봄에는 할 일이 참 많습니다","K822831046","9791190382960","03840","수오서재","애나 메리 로버트슨 모지스 지음, 류승경 편역","14,500","13,050","1,450","10%","720점","20230223","3480"
"387","국내도서","총 균 쇠 (무선 제작)","8970127240","9788970127248","03900","문학사상","제레드 다이아몬드 지음, 김진준 옮김","28,000","25,200","2,800","10%","1,400점","20051219","108202"
"388","국내도서","밝은 밤","K312835925","9788954681179","03810","문학동네","최은영 지음","14,500","13,050","1,450","10%","720점","20210727","106764"
"389","국내도서","체인소 맨 10","K872838571","9791134837822","","학산문화사(만화)","후지모토 타츠키 지음","6,000","5,400","600","10%","300점","20220114","33272"
"390","국내도서","주식투자 최적의 타이밍을 잡는 법","K582736979","9791191228366","03320","플로우","스탠 와인스타인 지음, 우승택 옮김","22,000","19,800","2,200","10%","1,100점","20201207","17073"
"391","국내도서","다이어트 사이언스 2022","K812837397","9791197834202","","린체인저스","최겸 지음","22,000","19,800","2,200","10%","1,100점","20220323","11350"
"392","국내도서","2023 이동기 영어 실력향상 모의고사","K472830919","9791165769802","13740","에스티유니타스","이동기 지음","18,000","16,200","1,800","10%","180점","20221129","10730"
"393","국내도서","운을 벌어야 돈이 벌린다","K392831387","9791164161393","03320","부커","이정재 지음","17,000","15,300","1,700","10%","850점","20230131","9535"
"394","국내도서","마법의 시간여행 컬러 코믹스 1","8949185350","9788949185354","74840","비룡소","켈리 매슈스.니콜 매슈스 그림, 노은정 옮김, 메리 폽 어즈번 원작, 제니 레어드 각색","13,000","11,700","1,300","10%","650점","20221215","9380"
"395","국내도서","2023 실전과 가장 유사한 국가직 9급 모의고사","K422831404","9791167223692","13350","메가스터디교육(공무원)","신용한.SK100수험연구소 지음","12,000","10,800","1,200","10%","600점","20230210","6180"
"396","국내도서","아이들 타임","8932041237","9788932041230","03810","문학과지성사","조시현 지음","12,000","10,800","1,200","10%","600점","20230207","5730"
"397","국내도서","일타 스캔들 1","K412831856","9791168125971","04680","위즈덤하우스","양희승.여은호 지음","20,000","18,000","2,000","10%","1,000점","20230412","3370"
"398","국내도서","정의란 무엇인가","8937834790","9788937834790","03300","와이즈베리","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","15,000","13,500","1,500","10%","750점","20141120","66026"
"399","국내도서","스파이 패밀리 10","K432830245","9791169472807","","학산문화사(만화)","엔도 타츠야 지음","6,000","5,400","600","10%","300점","20221220","53625"
"400","국내도서","이상한 과자 가게 전천당 16","K182830482","9791164064748","73830","길벗스쿨","히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","13,000","11,700","1,300","10%","650점","20221125","47740"
"401","국내도서","체인소 맨 9","K152838710","9791169273855","","학산문화사(만화)","후지모토 타츠키 지음","6,000","5,400","600","10%","300점","20211213","31955"
"402","국내도서","욕망의 진화","8983712074","9788983712073","03180","사이언스북스","데이비드 버스 지음, 전중환 옮김","22,000","19,800","2,200","10%","1,100점","20070815","31692"
"403","국내도서","기븐 8","8927043766","9788927043768","07830","현대지능개발사","키즈 나츠키 지음","6,000","5,400","600","10%","300점","20230209","16990"
"404","국내도서","2023 대한민국 산업지도","K532831266","9791192445199","03320","경이로움","이래학 지음","22,000","19,800","2,200","10%","1,100점","20230110","16865"
"405","국내도서","해커스 토익 실전 1000제 2 RC Reading (리딩) 문제집 (2023 최신개정판)","8965425387","9788965425380","13740","해커스어학연구소(Hackers)","해커스어학연구소 지음","11,900","10,710","1,190","10%","590점","20230102","14695"
"406","국내도서","로렘 입숨의 책","K262831116","9791192638072","03810","안온북스","구병모 지음","15,000","13,500","1,500","10%","750점","20230131","12390"
"407","국내도서","주식투자 무작정 따라하기","K052831498","9791140702343","13320","길벗","윤재수 지음","23,000","20,700","2,300","10%","1,150점","20230130","9350"
