순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"946","국내도서","소워니놀이터의 말랑띠부 모음집","K672831486","9791138339575","13630","시대인","조윤성 지음","25,000","22,500","2,500","10%","1,250점","20230220","4200"
"947","국내도서","공학은 세상을 어떻게 바꾸었을까?","K892530248","9791186688847","73500","어린이나무생각","황진규 지음, 박연옥 그림","13,000","11,700","1,300","10%","650점","20170403","4194"
"948","국내도서","제법 괜찮은 리더가 되고픈 당신에게","K552830397","9791168320390","03320","플랜비디자인","장동철 지음","18,000","16,200","1,800","10%","900점","20221122","4075"
"949","국내도서","양판소 주인공의 아내로 살아남기 4","K922831520","9791138586917","07810","연담","아빈 지음, 녹끼 원작","16,000","14,400","1,600","10%","800점","20230210","3520"
"950","국내도서","아하 한글 박사님의 스티커 놀이 1~3 세트 - 전3권","K752830718","9791165701680","74710","창비교육","최영환.진지혜 지음","22,500","20,250","2,250","10%","1,120점","20221205","3460"
"951","국내도서","파이썬을 이용한 퀀트 투자 포트폴리오 만들기","K222831516","9791192469829","93000","제이펍","이현열 지음","30,000","27,000","3,000","10%","1,500점","20230217","2590"
"952","국내도서","오후의 예항 / 짐승들의 유희","8932041164","9788932041162","04830","문학과지성사","미시마 유키오 지음, 박영미 옮김","16,000","14,400","1,600","10%","800점","20221230","2490"
"953","국내도서","2023 2주완성 산업위생관리기사 실기","8931534256","9788931534252","13530","성안당","서영민 지음","27,000","24,300","2,700","10%","1,350점","20230111","2480"
"954","국내도서","돈, 뜨겁게 사랑하고 차갑게 다루어라 (22주년 기념 양장 특별판)","K802831312","9791192519333","03320","미래의창","앙드레 코스톨라니 지음, 한윤진 옮김","16,000","14,400","1,600","10%","800점","20230216","2330"
"955","국내도서","2024 임수진 보건임용 3","K662831527","9791192327327","13510","BTB Books","임수진 지음","40,000","36,000","4,000","10%","2,000점","20230216","2050"
"956","국내도서","내추럴 와인메이커스 두 번째 이야기","K492831847","9791160078930","13590","한즈미디어(한스미디어)","최영선 지음, 임정현 사진","26,000","23,400","2,600","10%","1,300점","20230220","1830"
"957","국내도서","알사탕","K422530533","9791158360375","77810","책읽는곰","백희나 글.그림","12,000","10,800","1,200","10%","600점","20170325","60560"
